model,variable,coef,se,pvalue,nobs,r2
m2,C(ubigeo)[T.20310],-0.1350662076877519,0.0038534894950039192,3.84975030402119e-269,51862,0.034120678215294964
m2,C(ubigeo)[T.20311],-0.11132908757918387,0.002794840360534833,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.20313],0.17705834240944976,0.002052371442088788,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.20315],-0.09534474722339215,0.004060227824584404,6.141286401463168e-122,51862,0.034120678215294964
m2,C(ubigeo)[T.20317],-0.017909447249086486,0.0005869474501836091,1.7593386110817763e-204,51862,0.034120678215294964
m2,C(ubigeo)[T.20320],-0.08195490899113787,0.0034935875468367055,1.078329518118187e-121,51862,0.034120678215294964
m2,C(ubigeo)[T.20321],-0.12362970147299754,0.004037169310820196,6.073382907610741e-206,51862,0.034120678215294964
m2,C(ubigeo)[T.20322],0.1503471271766143,0.0019692969189146537,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.20323],0.10924469728927255,0.0024049405867644005,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.20324],0.058315746557152465,0.002202751257015253,1.929129456229526e-154,51862,0.034120678215294964
m2,C(ubigeo)[T.20325],-0.12994124012177335,0.0029552082700346626,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.20402],-0.153775172779085,0.0036645912747562694,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.20403],-0.11690085444059273,0.002792060532344958,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.20404],0.10348748890422022,0.0025605131136923797,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.20405],-0.11785719914215717,0.0017118931249832101,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.20406],-0.1653399625091471,0.003573589756928694,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.20407],-0.15340436053608264,0.003108300931017996,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.20408],-0.1577424620738211,0.0030453752092625707,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.20409],-0.15348290607517592,0.0026272665413702026,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.20410],-0.17040164132702895,0.0037445498962073906,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.20411],-0.13500625555510104,0.0037120588359834516,1.2857429850003882e-289,51862,0.034120678215294964
m2,C(ubigeo)[T.20502],-0.1775295400841899,0.003781913209880083,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.20503],-0.19216083120753735,0.004218012189301635,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.20505],-0.18735123096137876,0.004112013534384842,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.20602],0.23962537986143784,0.003748913149463364,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.20603],-0.08825021002150932,0.004052378302366792,3.801456697321312e-105,51862,0.034120678215294964
m2,C(ubigeo)[T.20604],-0.08047458700819625,0.0031930220187989366,3.688581443721213e-140,51862,0.034120678215294964
m2,C(ubigeo)[T.20605],-0.0580157799367587,0.0037841582460376782,4.729848686091232e-53,51862,0.034120678215294964
m2,C(ubigeo)[T.20606],-0.0066918796413428985,0.0021521101175348716,0.0018743575914017415,51862,0.034120678215294964
